pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
196,"SCHRöDER D. (PG)
New Yorker Phantoms Braunschweig",27,226:21:00,70,22,45,48.90%,2,17,11.80%,24,62,38.70%,20,31,64.50%,17,0,17,21,9,23,0,29,45,-66,0
203,"SPODEN R. (PF)
WALTER Tigers Tübingen",29,223:03:00,70,10,18,55.60%,12,41,29.30%,22,59,37.30%,14,18,77.80%,32,11,43,4,2,13,1,51,66,1,0
115,"CROWE J. (PG)
Phoenix Hagen",9,224:48:00,69,9,28,32.10%,14,49,28.60%,23,77,29.90%,9,13,69.20%,30,5,35,26,13,27,1,27,59,-84,0
129,"GALLUP E. (PG)
TBB Trier",10,204:43:00,68,9,28,32.10%,15,42,35.70%,24,70,34.30%,5,6,83.30%,14,3,17,8,4,10,0,12,40,1,0
176,"THEIS D. (C)
New Yorker Phantoms Braunschweig",20,166:03:00,67,21,37,56.80%,1,7,14.30%,22,44,50.00%,22,34,64.70%,24,15,39,11,3,10,17,31,93,28,0
154,"BREWER J. (PG)
Eisbären Bremerhaven",13,383:30:00,64,10,29,34.50%,8,36,22.20%,18,65,27.70%,20,27,74.10%,33,8,41,66,11,31,2,28,99,-51,0
184,"NEUMANN P. (C)
Brose Baskets",20,142:03:00,62,19,26,73.10%,0,0,0.00%,19,26,73.10%,24,49,49.00%,30,16,46,10,3,11,10,25,88,67,0
174,"SCHMIDT S. (C)
BBC Bayreuth",17,223:13:00,61,26,64,40.60%,0,0,0.00%,26,64,40.60%,9,14,64.30%,24,7,31,5,5,14,1,34,46,-28,0
201,"KOCH T. (SF)
EnBW Ludwigsburg",25,243:21:00,61,3,14,21.40%,15,34,44.10%,18,48,37.50%,10,14,71.40%,26,3,29,4,5,14,1,35,52,-16,0
212,"SPOHR D. (SF)
Phoenix Hagen",30,298:52:00,57,11,37,29.70%,7,24,29.20%,18,61,29.50%,14,17,82.40%,30,12,42,8,6,14,0,31,53,-100,0
149,"HANSBROUGH B. (PG)
FC Bayern München",10,137:06:00,55,8,26,30.80%,5,15,33.30%,13,41,31.70%,24,32,75.00%,13,3,16,27,6,13,0,17,55,7,0
59,"WILLIAMS N. (SG)
New Yorker Phantoms Braunschweig",5,92:32:00,53,9,19,47.40%,7,16,43.80%,16,35,45.70%,14,16,87.50%,1,0,1,4,2,8,1,12,32,-14,0
202,"STAIGER L. (SG)
ALBA BERLIN",21,201:14:00,51,3,9,33.30%,14,46,30.40%,17,55,30.90%,3,4,75.00%,16,9,25,11,2,7,1,14,44,33,0
